Plot Name/ Pt. #,Date,Species Name (1),Species Name (2),Species Name (3),Species Name (4),Species Name (5),Species Name (6),Species Name (7),Species Name (8),% Cover (Species 1),% Cover (Species 2),% Cover (Species 3),% Cover (Species 4),% Cover (Species 5),% Cover (Species 6),% Cover (Species 7),% Cover (Species 8),Invasive (Y/N) Species 1,Invasive (Y/N) Species 2,Invasive (Y/N) Species 3,Invasive (Y/N) Species 4,Invasive (Y/N) Species 5,Invasive (Y/N) Species 6,Invasive (Y/N) Species 7,Invasive (Y/N) Species 8,% Invasive Cover,# of Invasive Species
Village Square Pt. 3,08/15/18,Zelkova serrata,Hedera helix,Viburnum acerifolium,Robinia pseudoacacia ,Alliaria petiolata,N/A,N/A,N/A,25,3,2,1,1,N/A,N/A,N/A,Y,Y,N,N,Y,N/A,N/A,N/A,,
Village Square Pt. 4,08/15/18,Rosa multiflora,Hedera helix,Celastrus orbiculatus ,Viburnum acerifolium,N/A,N/A,N/A,N/A,5,5,5,5,N/A,N/A,N/A,N/A,Y,Y,N,N,N/A,N/A,N/A,N/A,,
Village Square Pt. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village Square Pt. 6,08/15/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 7,08/16/18,Rosa multiflora,Toxicodendron radicans,Celastrus orbiculatus,N/A,N/A,N/A,N/A,N/A,20,5,5,N/A,N/A,N/A,N/A,N/A,Y,N,N,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 8,08/16/18,Rosa multiflora,Bidens pilosa,Humula japonicus,Ampelopsis glandulosa,Turf,N/A,N/A,N/A,40,20,10,10,20,N/A,N/A,N/A,Y,Y,Y,Y,N,N/A,N/A,N/A,,
Village Square Pt. 9,08/15/18,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 10,08/15/18,Lonicera japonica,Hedera helix,Carya cordiformis,Toxicodendron radicans,N/A,N/A,N/A,N/A,Y,Y,N,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 11,08/16/18,Ampelopsis glandulosa,Lonicera japonica,Gynostemma pentaphyllum,Hedera helix,Turf,Helianthus tuberosus,N/A,N/A,20,20,1,3,5,1,N/A,N/A,Y,Y,Y,Y,N,N,N/A,N/A,,
Village Square Pt. 12,08/16/18,Fallopia japonica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 13,08/16/18,Fallopia japonica,Ampelopsis glandulosa,N/A,N/A,N/A,N/A,N/A,N/A,25,50,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 14,08/24/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 15,08/24/18,Parthenocissus quinquefolia,Galium concinnum,Circaea alpina,Lonicera japonica,Glechoma hederacea,N/A,N/A,N/A,5,10,10,10,5,N/A,N/A,N/A,N,N,N,Y,Y,N/A,N/A,N/A,,
Village Square Pt. 16,08/24/18,Circaea alpina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 17,08/24/18,Rosa multiflora,Bidens pilosa,Geum canadense,N/A,N/A,N/A,N/A,N/A,30,1,4,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 18,08/16/18,Fallopia japonica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 19,08/16/18,Fallopia japonica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 20,08/21/18,Ampelopsis glandulosa,Bidens pilosa,Turf,N/A,N/A,N/A,N/A,N/A,70,10,20,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 21,08/22/18,Toxicodendron radicans,Viburnum acerifolium,Lycium chinense,N/A,N/A,N/A,N/A,N/A,5,2,3,N/A,N/A,N/A,N/A,N/A,N,N,Y,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 22,08/16/18,Ampelopsis glandulosa,Fallopia japonica ,N/A,N/A,N/A,N/A,N/A,N/A,5,55,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 23,08/21/18,Lonicera japonica,Turf,Trifolium repens,N/A,N/A,N/A,N/A,N/A,3,65,2,N/A,N/A,N/A,N/A,N/A,Y,N,Y,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 24,08/24/18,Fraxinus pennsylvanica,Celastrus orbiculatus,N/A,N/A,N/A,N/A,N/A,N/A,5,30,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 25,08/24/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 26,08/21/18,Ampelopsis glandulosa,Lonicera japonica,Helianthus tuberosus,Digitaria sanguinalis,Fraxinus pennsylvanica,N/A,N/A,N/A,30,20,10,4,1,N/A,N/A,N/A,Y,Y,N,Y,N,N/A,N/A,N/A,,
Village Square Pt. 27,08/24/18,Lonicera japonica,Hedera helix,Alliaria petiolata,N/A,N/A,N/A,N/A,N/A,10,1,4,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 28,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 29,08/21/18,Toxicodendron radicans,Ampelopsis glandulosa,Helianthus tuberosus,N/A,N/A,N/A,N/A,N/A,15,5,5,N/A,N/A,N/A,N/A,N/A,N,Y,N,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 30,08/24/18,Toxicodendron radicans,Celastrus orbiculatus,Circaea alpina,Hedera helix,N/A,N/A,N/A,N/A,5,5,5,2,N/A,N/A,N/A,N/A,N,N,N,Y,N/A,N/A,N/A,N/A,,
Village Square Pt. 31,08/24/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 32,08/21/18,Rumex acetosa,Turf,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,5,20,50,N/A,N/A,N/A,N/A,N/A,Y and N,N,Y,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 33,08/24/18,Circaea cordata,Celastrus orbiculatus,Hedera helix,N/A,N/A,N/A,N/A,N/A,3,1,1,N/A,N/A,N/A,N/A,N/A,N,N,Y,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 34,08/24/18,Toxicodendron radicans,Parthenocissus quinquefolia,Lonicera japonica,Hedera helix,Fraxinus pennsylvanica,Viburnum acerifolium,N/A,N/A,5,1,10,1,1,2,N/A,N/A,N,N,Y,Y,N,N,N/A,N/A,,
Village Square Pt. 35,08/24/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 36,08/21/18,Ampelopsis glandulosa,Rosa multiflora,Hedera helix,Lonicera japonica,Helianthus tuberosis,Fallopia japonica,Polygonum aviculare,Oxalis stricta,2,15,10,5,10,5,2,1,N,Y,Y,Y,N,Y,Y,N/A,,
Village Square Pt. 37,08/24/18,Rosa multiflora,Viburnum acerifolium,Lonicera japonica,Pinellia ternata,Turf,N/A,N/A,N/A,3,2,1,4,10,N/A,N/A,N/A,Y,N,Y,Y,N,N/A,N/A,N/A,,
Village Square Pt. 38,08/21/18,Rosa multiflora,Fraxinus pennsylvanica,Toxicodendron radicans,Parthenocissus quinquefolia,Lonicera japonica,Lycium chinense,Viburnum acerifolium,Hedera helix,5,5,10,5,10,20,5,5,Y,N,N,N,Y,Y,N,Y,,
Village Square Pt. 39,08/24/18,Fraxinus pennsylvanica,Lonicera japonica,Viburnum acerifolium,N/A,N/A,N/A,N/A,N/A,5,10,2,N/A,N/A,N/A,N/A,N/A,N,Y,N,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 40,08/21/18,Lonicera japonica,Rosa multiflora,Toxicodendron radicans,Helianthus tuberosus,N/A,N/A,N/A,N/A,4,80,1,5,N/A,N/A,N/A,N/A,Y,Y,N,N,N/A,N/A,N/A,N/A,,
Village Square Pt. 41,08/24/18,Lonicera japonica,Hedera helix,Oxalis stricta,N/A,N/A,N/A,N/A,N/A,30,5,5,N/A,N/A,N/A,N/A,N/A,Y,N,N,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 42,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 43,08/21/18,Ampelopsis glandulosa,Polygonum longistem,Lophatherum gracile,Rosa multiflora,Hedera helix,Lonicera japonica,N/A,N/A,5,50,30,3,2,10,N/A,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,,
Village Square Pt. 44,08/21/18,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 45,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 46,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 47,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 48,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 49,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 50,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 51,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 52,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 53,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 54,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 55,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 56,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 57,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 58,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 59,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 60,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 61,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Village Square Pt. 62,08/21/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Todd Ave. Pt. 1 ,09/21/18,Hedera helix,Turf,Fraxinus pennsylvanica,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Ave. Pt. 91,,,,,,,,,,,,,,,,,,,,,,,,,,,
