Plot Name/ Pt. #,Trees Name (1),Trees Name (2),"
Trees Name (3)","
Trees Name (4)","
Trees Name (5)","
Trees Name (6)","
Trees Name (7)",Trees Name (8),Trees Name (9),Trees Name (10),Trees Name (11),Trees Name (12),Trees Name (13),Trees Name (14),Trees Name (15),Trees Name (16),Tree Name (17),Tree Name (18),Tree Name (19),Tree 1 (Stem 1) Schumaker Scale,Tree 1 (Stem 2) Schumaker Scale,Tree 1 (Stem 3) Schumaker Scale,Tree 1 (Stem 4) Schumaker Scale,Tree 2 (Stem 1) Schumaker Scale,Tree 2 (Stem 2) Schumaker Scale,Tree 2 (Stem 3) Schumaker Scale,Tree 2 (Stem 4) Schumaker Scale,Tree 3 (Stem 1) Schumaker Scale,Tree 3 (Stem 2) Schumaker Scale,Tree 3 (Stem 3) Schumaker Scale,Tree 3 (Stem 4) Schumaker Scale,Tree 4 (Stem 1) Schumaker Scale,Tree 4 (Stem 2) Schumaker Scale,Tree 4 (Stem 3) Schumaker Scale,Tree 5 (Stem 1) Schumaker Scale,Tree 5 (Stem 2) Schumaker Scale,Tree 5 (Stem 3) Schumaker Scale,Tree 6 (Stem 1) Schumaker Scale,Tree 6 (Stem 2) Schumaker Scale,Tree 6 (Stem 3) Schumaker Scale,Tree 7 (Stem 1) Schumaker Scale,Tree 7 (Stem 2) Schumaker Scale,Tree 7 (Stem 3) Schumaker Scale,Tree 7 (Stem 4) Schumaker Scale,Tree 8 (Stem 1) Schumaker Scale,Tree 8 (Stem 2) Schumaker Scale,Tree 9 (Stem1) Schumaker Scale,Tree 9 (Stem 2) Schumaker Scale,Tree 9 (Stem 3) Schumaker Scale,Tree 10 (Stem 1) Schumaker Scale ,Tree 10 (Stem 2) Schumaker Scale,Tree 11 (Stem 1) Schumaker Scale ,Tree 11 (Stem 2) Schumaker Scale ,Tree 12 (Stem 1) Schumaker Scale,Tree 12 (Stem 2) Schumaker Scale,Tree 13 (Stem 1) Schumaker Scale ,Tree 14 (Stem 1) Schumaker Scale,Tree 15 (Stem 1) Schumaker Scale,Tree 16 (Stem 1) Schumaker Scale,Tree 17 (Stem 1) Schumaker Scale,Tree 18 (Stem 1) Schumaker Scale,Tree 19 (Stem 1) Schumaker Scale
Knoll Pt. 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 5,LITU,PRSE,QURU,PRSE,PRSE,MORU,PRSE,MORU,PRSE,ROPS,CAGL,PATO,PATO,FRAM,ACRU,LITU,FRPE,FRAM,FRAM,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,2,N/A,N/A,0,N/A,N/A,N/A,1,N/A,1,N/A,N/A,2,N/A,3,N/A,1,1,1,1,1,0,1,1,1
Knoll Pt. 6,ACRU,FRAM,PATO,PATO,MORU,CAGL,PATO,SAAL,SAAL,QURU,FAGR,QUAL,CACO,LITU,ROPS,CATO,N/A,N/A,N/A,2,2,1,2,1,N/A,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,2,2,N/A,1,N/A,N/A,N/A,1,N/A,1,N/A,N/A,1,N/A,1,N/A,1,N/A,1,1,1,0,N/A,N/A,N/A
Knoll Pt. 7 ,CATO,PRAV,QURU,CAGL,QURU,FAGR,FRPE,QUPH,QUPH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,0,N/A,N/A,1,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 8,QURU,QUCO,QUCO,QUPH,QUPH,QUPH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 9,CATO,ZDEAD,QURU,QURU,QUCO,QUPH,QUCO,QUCO,QURU,QUCO,QURU,QUCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,0,N/A,1,N/A,N/A,0,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 10,QUAL,CAGL,QURU,QUCO,QUCO,FRPE,FAGR,PRSE,NYSY,QURU,QUCO,QURU,QUCO,QUAL,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,0,N/A,N/A,1,N/A,N/A,0,N/A,N/A,N/A,2,N/A,1,N/A,N/A,1,N/A,0,N/A,1,N/A,1,0,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 11,QUAL,ACRU,FAGR,FAGR,ZDEAD,QUAL,FAGR,FAGR,CATO,FRAM,LITU,QURU,QUCO,PRSE,CACO,NYSY,FRPE,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,0,N/A,N/A,N/A,1,N/A,2,N/A,N/A,0,N/A,1,N/A,1,N/A,0,0,1,1,1,N/A,N/A
Knoll Pt. 12,LITU,QUAL,LITU,ACRU,PRSE,LITU,QURU,QUVE,FRAM,ACRU,CACO,COFL,PRSE,MORU,FRPE,CACO,QUAL,N/A,N/A,2,N/A,N/A,N/A,0,N/A,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,1,N/A,1,N/A,N/A,2,1,0,N/A,0,N/A,0,1,0,1,1,N/A,N/A
Knoll Pt. 13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 15,NYSY,NYSY,ZDEAD,NYSY,NYSY,QURU,FRAM,NYSY,QURU,FRPE,NYSY,NYSY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1,0,1,0,N/A,1,N/A,N/A,0,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 16,NYSY,FAGR,NYSY,LITU,PRSE,ZDEAD,NYSY,NYSY,NYSY,NYSY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,1,N/A,0,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 17,NYSY,CATO,NYSY,NYSY,FAGR,QUVE,LITU,QUAL,LITU,CATO,FAGR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A,1,N/A,N/A,1,N/A,N/A,2,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 18,SAAL,LITU,ZDEAD,CATO,PRSE,LITU,NYSY,LITU,LITU,NYSY,FAGR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,1,N/A,N/A,3,N/A,N/A,N/A,1,N/A,1,1,N/A,2,N/A,2,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 19,QUAL,QURU,CATO,LITU,NYSY,NYSY,NYSY,FAGR,ZDEAD,QURU,LITU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,0,N/A,1,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 20,LITU,QURU,CACO,ZDEAD,QURU,QUCO,QUCO,QUCO,FRAM,PRSE,QUCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,3,N/A,N/A,N/A,1,N/A,1,1,N/A,1,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 21,QUCO,QUCO,QUCO,QUCO,QUMA2,QUMA2,QUMA2,QUCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 22,FRPE,QUCO,QUMA2,QUMA2,QUMA2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 23,PRAV,FRPE,QUAL,CAGL,QUMA2,CATO,QUCO,QUCO,NYSY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,3,N/A,N/A,3,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 24,FAGR,FAGR,FRPE,LITU,QUAL,QURU,LITU,QURU,FRPE,PATO,FRPE,PRSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,0,N/A,N/A,1,1,N/A,N/A,0,N/A,1,N/A,N/A,0,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 25,FRPE,LITU,FAGR,FAGR,ZDEAD,SAAL,QUAL,QUAL,LITU,LITU,SAAL,NYSY,NYSY,NYSY,NYSY,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,1,N/A,1,1,N/A,0,N/A,1,N/A,1,N/A,1,0,2,N/A,N/A,N/A,N/A
Knoll Pt. 26,PRSE,ZDEAD,LITU,ACRU,NYSY,NYSY,QUAL,LITU,LITU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 27,NYSY,PRSE,PRSE,NYSY,PRSE,NYSY,FAGR,QUAL,LITU,NYSY,ACRU,NYSY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,0,N/A,1,N/A,N/A,0,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 28,LITU,QUAL,ACRU,ZDEAD,NYSY,FAGR,ZDEAD,NYSY,FAGR,NYSY,NYSY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,N/A,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 29,NYSY,FAGR,QURU,NYSY,QURU,QUAL,CACO,QURU,NYSY,NYSY,NYSY,LITU,QURU,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,1,N/A,1,N/A,N/A,1,N/A,0,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
