Plot Name/ Pt. #,ACRU,CACO,CAGL,CATO,COFL,FAGR,FRAM,FRPE,LITU,MOAL,MORU,NYSY,PATO,PLOC,PRAV,PRSE,QUAL,QUCO,QUMA2,QUPH,QUPR,QURU,QUVE,ROPS,SAAL,ZDEAD,%SUM
Knoll Pt. 1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 5,5.26%,0.00%,5.26%,0.00%,0.00%,0.00%,15.79%,5.26%,10.53%,0.00%,10.53%,0.00%,10.53%,0.00%,0.00%,26.32%,0.00%,0.00%,0.00%,0.00%,0.00%,5.26%,0.00%,5.26%,0.00%,0.00%,100.00%
Knoll Pt. 6,6.25%,12.50%,6.25%,6.25%,0.00%,0.00%,6.25%,0.00%,6.25%,0.00%,6.25%,0.00%,18.75%,0.00%,0.00%,0.00%,6.25%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,6.25%,6.25%,0.00%,100.00%
Knoll Pt. 7 ,0.00%,0.00%,11.11%,11.11%,0.00%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,22.22%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 9,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,75.00%,0.00%,0.00%,0.00%,8.33%,100.00%
Knoll Pt. 10,0.00%,0.00%,7.14%,0.00%,0.00%,7.14%,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,14.29%,7.14%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 11,5.88%,5.88%,0.00%,5.88%,0.00%,23.53%,5.88%,5.88%,5.88%,0.00%,0.00%,5.88%,0.00%,0.00%,0.00%,5.88%,11.76%,5.88%,0.00%,0.00%,0.00%,5.88%,0.00%,0.00%,0.00%,5.88%,100.00%
Knoll Pt. 12,5.88%,11.76%,0.00%,0.00%,5.88%,0.00%,5.88%,5.88%,17.65%,0.00%,5.88%,5.88%,0.00%,0.00%,0.00%,11.76%,11.76%,0.00%,0.00%,0.00%,0.00%,5.88%,5.88%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 13,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 14,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,8.33%,0.00%,0.00%,0.00%,58.33%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 16,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,10.00%,0.00%,0.00%,60.00%,0.00%,0.00%,0.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 17,0.00%,0.00%,0.00%,11.11%,0.00%,11.11%,0.00%,0.00%,22.22%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 18,0.00%,0.00%,0.00%,15.38%,0.00%,0.00%,0.00%,0.00%,30.77%,0.00%,0.00%,15.38%,0.00%,0.00%,0.00%,7.69%,15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,7.69%,100.00%
Knoll Pt. 19,0.00%,0.00%,0.00%,9.09%,0.00%,9.09%,0.00%,0.00%,18.18%,0.00%,0.00%,27.27%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,18.18%,0.00%,0.00%,0.00%,9.09%,100.00%
Knoll Pt. 20,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,81.82%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,37.50%,0.00%,0.00%,0.00%,0.00%,62.50%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 23,0.00%,0.00%,11.11%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,11.11%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 24,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,25.00%,16.67%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,8.33%,8.33%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 25,0.00%,0.00%,0.00%,0.00%,0.00%,13.33%,0.00%,6.67%,20.00%,0.00%,0.00%,26.67%,0.00%,0.00%,0.00%,0.00%,13.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.33%,6.67%,100.00%
Knoll Pt. 26,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,22.22%,0.00%,0.00%,0.00%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,100.00%
Knoll Pt. 27,8.33%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,8.33%,0.00%,0.00%,41.67%,0.00%,0.00%,0.00%,25.00%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 28,9.09%,0.00%,0.00%,0.00%,0.00%,18.18%,0.00%,0.00%,9.09%,0.00%,0.00%,36.36%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.18%,100.00%
Knoll Pt. 29,0.00%,7.69%,0.00%,0.00%,0.00%,7.69%,0.00%,0.00%,7.69%,0.00%,0.00%,38.46%,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,0.00%,0.00%,0.00%,30.77%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 30,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 31,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 32,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 33,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,44.44%,22.22%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 34,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,10.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,10.00%,30.00%,10.00%,0.00%,0.00%,10.00%,100.00%
Knoll Pt. 35,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 36,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 37,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,7.69%,0.00%,0.00%,15.38%,0.00%,0.00%,0.00%,7.69%,30.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,15.38%,100.00%
Knoll Pt. 38,0.00%,0.00%,0.00%,10.00%,0.00%,30.00%,10.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 39,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 40,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 41,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 42,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,33.33%,11.11%,11.11%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 43,8.33%,16.67%,8.33%,0.00%,0.00%,0.00%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,16.67%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 44,11.11%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,11.11%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,100.00%
Knoll Pt. 45,11.11%,0.00%,0.00%,0.00%,0.00%,33.33%,11.11%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,100.00%
Knoll Pt. 46,8.33%,0.00%,0.00%,0.00%,0.00%,41.67%,0.00%,8.33%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,8.33%,100.00%
Knoll Pt. 47,11.11%,0.00%,0.00%,11.11%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 48,0.00%,0.00%,9.09%,0.00%,0.00%,36.36%,0.00%,0.00%,9.09%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.18%,9.09%,0.00%,0.00%,9.09%,100.00%
Knoll Pt. 49,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 50,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 51,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,27.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,18.18%,0.00%,9.09%,100.00%
Knoll Pt. 52,8.33%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,8.33%,0.00%,0.00%,0.00%,0.00%,16.67%,8.33%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 53,0.00%,0.00%,0.00%,9.09%,0.00%,36.36%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,18.18%,0.00%,0.00%,0.00%,18.18%,100.00%
Knoll Pt. 54,8.33%,0.00%,0.00%,0.00%,0.00%,25.00%,8.33%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 55,50.00%,0.00%,0.00%,0.00%,0.00%,12.50%,12.50%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,100.00%
Knoll Pt. 56,42.86%,0.00%,0.00%,0.00%,0.00%,14.29%,14.29%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 57,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 58,10.00%,20.00%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,10.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 59,18.18%,0.00%,0.00%,0.00%,0.00%,9.09%,27.27%,18.18%,9.09%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 60,71.43%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 61,44.44%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Knoll Pt. 62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 63,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 64,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knoll Pt. 65,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,10.00%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,10.00%,100.00%
