"","Plot.Name..Pt...","Date","Species.Name..1.","Species.Name..2.","Species.Name..3.","Species.Name..4.","Species.Name..5.","Species.Name..6.","Species.Name..7.","Species.Name..8.","X..Cover..Species.1.","X..Cover..Species.2.","X..Cover..Species.3.","X..Cover..Species.4.","X..Cover..Species.5.","X..Cover..Species.6.","X..Cover..Species.7.","X..Cover..Species.8."
"1","Knoll Pt. 1","06/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Knoll Pt. 2","06/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Knoll Pt. 3","06/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Knoll Pt. 4","06/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Knoll Pt. 5","06/27/18","Lonicera japonica","Parthenocissus quinquefolia","Hedera helix","Carya cordiformis","N/A","N/A","N/A","N/A","15","2","3","5","N/A","N/A","N/A","N/A"
"6","Knoll Pt. 6","06/27/18","Lonicera japonica","Parthenocissus quinquefolia","Hedera helix","Carya cordiformis","N/A","N/A","N/A","N/A","15","2","3","5","N/A","N/A","N/A","N/A"
"7","Knoll Pt. 7 ","06/27/18","Lonicera japonica","Carya cordiformis","Fraxinus americana","Alliaria petiolata","N/A","N/A","N/A","N/A","25","1","7","5","N/A","N/A","N/A","N/A"
"8","Knoll Pt. 8","06/28/18","Trifolium repens","Turf","Moss","N/A","N/A","N/A","N/A","N/A","5","15","30","N/A","N/A","N/A","N/A","N/A"
"9","Knoll Pt. 9","06/28/18","Parthenocissus quinquefolia","Hedera helix","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","1","1","1","N/A","N/A","N/A","N/A","N/A"
"10","Knoll Pt. 10","06/28/18","Lonicera japonica","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","40","10","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Knoll Pt. 11","06/28/18","Lonicera japonica","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","70","10","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Knoll Pt. 12","06/29/18","Cornus florida","Lonicera japonica","Toxicodendron radicans ","Hedera helix","??","N/A","N/A","N/A","20","20","2","15","2","N/A","N/A","N/A"
"13","Knoll Pt. 13","06/29/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Knoll Pt. 14","06/29/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Knoll Pt. 15","06/29/18","Lonicera japonica","Parthenocissus quinquefolia","N/A","N/A","N/A","N/A","N/A","N/A","25","1","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Knoll Pt. 16","06/29/18","Sassafras albidum","Lonicera japonica","Hedera helix","N/A","N/A","N/A","N/A","N/A","10","20","2","N/A","N/A","N/A","N/A","N/A"
"17","Knoll Pt. 17","07/03/18","Hedera helix","Rubus occidentalis","Lonicera japonica","Viburnum acerifolium","Malus spp","Fraxinus pennsylvanica","N/A","N/A","15","25","10","2","10","1","N/A","N/A"
"18","Knoll Pt. 18","07/03/18","Hedera helix","Parthenocissus quinquefolia","?? Unknown serrated","Viburnum acerifolium","N/A","N/A","N/A","N/A","70","15","5","1","N/A","N/A","N/A","N/A"
"19","Knoll Pt. 19","07/03/18","Hedera helix","Parthenocissus quinquefolia","Viburnum acerifolium","Liriodendron tulipifera","Prunus avium","Amelanchier arborea","N/A","N/A","8","1","3","1","1","1","N/A","N/A"
"20","Knoll Pt. 20","07/03/18","Alliaria petiolata","Hedera helix","Fagus grandifolia","Lonicera japonica","Parthenocissus quinquefolia","Toxicodendron radicans","N/A","N/A","20","15","1","12","1","1","N/A","N/A"
"21","Knoll Pt. 21","07/03/18","Alliaria petiolata","Fragaria vesca","Polygonum perfoliata","Oxalis stricta","N/A","N/A","N/A","N/A","20","60","1","9","N/A","N/A","N/A","N/A"
"22","Knoll Pt. 22","07/05/18","Perilla frutescens","Polygonum perfoliata","N/A","N/A","N/A","N/A","N/A","N/A","50","50","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Knoll Pt. 23","07/05/18","Hedera helix","Parthenocissus quinquefolia","Lonicera japonica","Viburnum dentatum","Viburnum acerifolium","Fagus grandifolia","N/A","N/A","15","5","8","5","5","2","N/A","N/A"
"24","Knoll Pt. 24","07/06/18","Fagus grandifolia","Fraxinus pennsylvanica","Lonicera japonica","Viburnum acerifolium","Hedera helix","Alliaria petiolata","Parthenocissus quinquefolia","N/A","2","8","5","8","10","5","2","N/A"
"25","Knoll Pt. 25","07/05/18","Hedera helix","Polygonum perfoliata","Liriodendron tulipifera","Viburnum acerifolium","N/A","N/A","N/A","N/A","4","2","1","3","N/A","N/A","N/A","N/A"
"26","Knoll Pt. 26","07/05/18","Parthenocissus quinquefolia","Lonicera japonica","Hedera helix","N/A","N/A","N/A","N/A","N/A","5","15","10","N/A","N/A","N/A","N/A","N/A"
"27","Knoll Pt. 27","07/05/18","Vinca minor","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"28","Knoll Pt. 28","07/05/18","Viburnum acerifolium","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"29","Knoll Pt. 29","06/29/18","Convallaria majalis","Cornus florida","Adenophora tracheliodes","N/A","N/A","N/A","N/A","N/A","2","2","21","N/A","N/A","N/A","N/A","N/A"
"30","Knoll Pt. 30","06/29/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"31","Knoll Pt. 31","06/29/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"32","Knoll Pt. 32","06/29/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"33","Knoll Pt. 33","06/29/18","Moss","Turf","Lonicera japonica","Acer rubrum","N/A","N/A","N/A","N/A","5","2","2","1","N/A","N/A","N/A","N/A"
"34","Knoll Pt. 34","07/03/18","Viburnum acerifolium","Sassafras albidum","Morus rubra ","N/A","N/A","N/A","N/A","N/A","55","4","1","N/A","N/A","N/A","N/A","N/A"
"35","Knoll Pt. 35","07/06/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"36","Knoll Pt. 36","07/03/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"37","Knoll Pt. 37","07/06/18","Viburnum dentatum","Robinia pseudoacacia","Carya cordiformis","Hedera helix","Parthenocissus quinquefolia","Fagaria vesca","Lonicera japonica","N/A","5","2","2","15","15","6","15","N/A"
"38","Knoll Pt. 38","07/06/18","Turf","Lonicera japonica","Hedera helix","Liriodendron tulipifera","N/A","N/A","N/A","N/A","28","15","10","2","N/A","N/A","N/A","N/A"
"39","Knoll Pt. 39","07/06/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"40","Knoll Pt. 40","07/06/28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"41","Knoll Pt. 41","07/06/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"42","Knoll Pt. 42","07/06/18","Polygonum perfoliata","Ampelopsis glandulosa","Cicaea alpina","Ageratina altissima","Hedera helix","Parthenocissus quinquefolia","N/A","N/A","55","10","10","5","5","15","N/A","N/A"
"43","Knoll Pt. 43","07/06/18","Hedera helix","Parthenocissus quinquefolia","Lindera benzoin","Viburnum acerifolium","Viburnum lentago ","Amelanchier arborea","N/A","N/A","2","1","1","1","8","2","N/A","N/A"
"44","Knoll Pt. 44","07/06/18","Parthenocissus quinquefolia","Fraxinus americana","Carya cordiformis","Acer rubrum","Hedera helix","Lindera benzoin","N/A","N/A","1","1","2","2","5","5","N/A","N/A"
"45","Knoll Pt. 45","07/05/18","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"46","Knoll Pt. 46","07/05/18","Viburnum acerifolium","Lonicera japonica","Rubus trianthus","N/A","N/A","N/A","N/A","N/A","5","1","4","N/A","N/A","N/A","N/A","N/A"
"47","Knoll Pt. 47","07/03/18","Parthenocissus quinquefolia","Viburnum acerifolium","Gleditsia triacanthos","Fraxinus americana","Amelanchier arborea","N/A","N/A","N/A","4","3","1","1","1","N/A","N/A","N/A"
"48","Knoll Pt. 48","06/29/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"49","Knoll Pt. 49","07/06/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"50","Knoll Pt. 50","07/06/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"51","Knoll Pt. 51","07/06/18","Hedera helix","Viburnum acerifolium","Smilax rotundifolia","Sassafras albidum","N/A","N/A","N/A","N/A","5","1","3","1","N/A","N/A","N/A","N/A"
"52","Knoll Pt. 52","07/06/18","Smilax rotundifolia","Hedera helix","Lonicera japonica","Turf","Prunus avium","N/A","N/A","N/A","5","10","5","5","5","N/A","N/A","N/A"
"53","Knoll Pt. 53","07/06/18","Moss","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"54","Knoll Pt. 54","07/10/18","Hedera helix","Lonicera japonica","Allaria petiolata","N/A","N/A","N/A","N/A","N/A","5","20","50","N/A","N/A","N/A","N/A","N/A"
"55","Knoll Pt. 55","07/10/18","Hedera helix","Parthenocissus quinquefolia","Lonicera japonica","Toxicodendron radicans","N/A","N/A","N/A","N/A","15","5","10","10","N/A","N/A","N/A","N/A"
"56","Knoll Pt. 56","07/10/18","Toxicodendron radicans","Turf","N/A","N/A","N/A","N/A","N/A","N/A","10","35","N/A","N/A","N/A","N/A","N/A","N/A"
"57","Knoll Pt. 57","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"58","Knoll Pt. 58","07/10/18","Osmunda japonica","Osmundastrum cinnamomeum","Parthenocissus quinquefolia","Toxicodendron radicans","N/A","N/A","N/A","N/A","5","1","5","1","N/A","N/A","N/A","N/A"
"59","Knoll Pt. 59","07/10/18","Lonicera japonica","Smilax rotundifolia","Hedera helix","Carya cordiformis","N/A","N/A","N/A","N/A","20","15","15","5","N/A","N/A","N/A","N/A"
"60","Knoll Pt. 60","07/10/18","Smilax rotundifolia","Hedera helix","Fraxinus pennsylvanica","Lonicera japonica","N/A","N/A","N/A","N/A","30","1","1","18","N/A","N/A","N/A","N/A"
"61","Knoll Pt. 61","07/06/18","Lonicera japonica","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","30","10","N/A","N/A","N/A","N/A","N/A","N/A"
"62","Knoll Pt. 62","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"63","Knoll Pt. 63","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"64","Knoll Pt. 64","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"65","Knoll Pt. 65","07/10/18","Lonicera japonica","Hedera helix","Toxicodendron radicans ","Smilax rotundifolia","N/A","N/A","N/A","N/A","5","5","10","10","N/A","N/A","N/A","N/A"
"66","Tyrone St. Pt. 1","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"67","Tyrone St. Pt. 2","07/12/18","Rosa Multiflora","Parthenocissus quinquefolia","Turf","Ampelopsis glandulosa","Phytolacca americana","Geum aleppicum","N/A","N/A","30","15","2","25","3","5","N/A","N/A"
"68","Tyrone St. Pt. 3","07/12/18","Lonicera japonica","Rosa multiflora","Celastrus orbiculatus","Ampelopsis glandulosa","Hedera helix","Geum aleppicum","N/A","N/A","20","2","30","30","5","3","N/A","N/A"
"69","Tyrone St. Pt. 4","07/12/18","Lonicera japonica","Hedera helix","Fragaria vesca","Ulmus americana","Celustrus orbiculatus","Ampelopsis glandulosa","N/A","N/A","50","5","3","2","5","5","N/A","N/A"
"70","Tyrone St. Pt. 5","07/12/18","Lonicera japonica","Hedera helix","Carya cordiformis","Ailanthus altissima","Rosa Multiflora","N/A","N/A","N/A","10","5","2","1","2","N/A","N/A","N/A"
"71","Tyrone St. Pt. 6","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"72","Tyrone St. Pt. 7","07/12/18","Viburnum acerifolium","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","N/A","10","5","N/A","N/A","N/A","N/A","N/A","N/A"
"73","Tyrone St. Pt. 8","07/12/18","Ampelopsis glandulosa","Lonicera japonica","Phytolacca americana","Celastrus orbiculatus","N/A","N/A","N/A","N/A","2","5","3","10","N/A","N/A","N/A","N/A"
"74","Tyrone St. Pt. 9","07/12/18","Hedera helix","Viburnum acerifolium","Lonicera japonica","Phytolacca americana","Toxicodendron radicans","Ampelopsis glandulosa","N/A","N/A","5","5","5","3","2","10","N/A","N/A"
"75","Tyrone St. Pt. 10","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"76","Tyrone St. Pt.11","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"77","Primson Ave Pt. 1","07/12/18","Orychophragmus violaceus","Pathenocissus quinquefolia ","Phytolacca americana","Turf","N/A","N/A","N/A","N/A","20","10","10","40","N/A","N/A","N/A","N/A"
"78","Primson Ave Pt. 2","07/11/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"79","Primson Ave Pt. 3","07/11/18","Fallopia japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"80","Primson Ave Pt. 4","07/11/18","Pathenocissus quinquefolia","Hedera helix","Dioscorea polystachya","N/A","N/A","N/A","N/A","N/A","25","15","10","N/A","N/A","N/A","N/A","N/A"
"81","Primson Ave Pt. 5","07/11/18","Hedera helix","Pathenocissus quinquefolia","Lonicera japonica","Glechoma hederacea","N/A","N/A","N/A","N/A","50","10","5","10","N/A","N/A","N/A","N/A"
"82","Primson Ave Pt. 6","07/12/18","Pathenocissus quinquefolia","Toxicodendron radicans","Hedera helix","Lonicera japonica","N/A","N/A","N/A","N/A","15","15","15","5","N/A","N/A","N/A","N/A"
"83","Primson Ave Pt. 7","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"84","Primson Ave Pt. 8","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"85","Primson Ave Pt. 9","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"86"," Leidig Rec Center Pt. 1","07/10/18","Lonicera japonica ","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","15","60","N/A","N/A","N/A","N/A","N/A","N/A"
"87","Leidig Rec Center Pt. 2","07/10/18","Lonicera japonica ","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","70","30","N/A","N/A","N/A","N/A","N/A","N/A"
"88","Leidig Rec Center Pt. 3","07/10/18","Rosa multiflora","Toxicodendron radicans","Hedera Helix","N/A","N/A","N/A","N/A","N/A","80","15","5","N/A","N/A","N/A","N/A","N/A"
"89","Leidig Rec Center Pt. 4","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"90","Leidig Rec Center Pt. 5","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"91","Leidig Rec Center Pt. 6","07/10/18","Polygonum longisetum","Plantago asiatica","Glechoma longituba","Turf","N/A","N/A","N/A","N/A","5","2","3","70","N/A","N/A","N/A","N/A"
"92","Leidig Rec Center Pt. 7","07/10/18","Pathenocissus quinquefolia","Duchesnea indica","Orychophragmus violaceus","Unknown","Polygonum longisetum","Turf","N/A","N/A","5","10","1","2","2","75","N/A","N/A"
"93","Leidig Rec Center Pt. 8","07/10/18","Turf","Glechoma longituba ","Trifolium repens","Plantago asiatica","N/A","N/A","N/A","N/A","40","4","1","15","N/A","N/A","N/A","N/A"
"94","Leidig Rec Center Pt. 9 ","07/10/18","Turf","Orychophragmus violaceus","Polygonum longisetum ","Geum canadense","Toxicodendron radicans","N/A","N/A","N/A","50","25","5","10","5","N/A","N/A","N/A"
