"","Plot.Name..Pt...","Date","Species.Name..1.","Species.Name..2.","Species.Name..3.","Species.Name..4.","Species.Name..5.","Species.Name..6.","Species.Name..7.","Species.Name..8.","X..Cover..Species.1.","X..Cover..Species.2.","X..Cover..Species.3.","X..Cover..Species.4.","X..Cover..Species.5.","X..Cover..Species.6.","X..Cover..Species.7.","X..Cover..Species.8."
"193","Forest Glen Plot 2/ Pt. 20","08/14/18","Lonicera japonica","Viburnum acerifolium","Lindera benzoin","Parthenocissus quinquefolia","N/A","N/A","N/A","N/A","10","2","5","1","N/A","N/A","N/A","N/A"
"200","Forest Glen Plot 2/ Pt. 27","08/14/18","Microstegium vimineum","Rosa multiflora","Viburnum acerifolium","Arthraxon hispidus","N/A","N/A","N/A","N/A","40","5","5","30","N/A","N/A","N/A","N/A"
"201","Forest Glen Plot 2/ Pt. 28","08/14/18","Microstegium vimineum","Lindera benzoin","Rosa multiflora","Viburnum acerifolium","Ampelopsis glandulosa","N/A","N/A","N/A","80","5","5","5","5","N/A","N/A","N/A"
"202","Forest Glen Plot 2/ Pt. 29","08/14/18","Viburnum acerifolium","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"204","Forest Glen Plot 3/ Pt. 1","08/02/18","Turf","Alliaria petiolata","N/A","N/A","N/A","N/A","N/A","N/A","5","5","N/A","N/A","N/A","N/A","N/A","N/A"
"205","Forest Glen Plot 3/ Pt. 2","08/02/18","Hedera helix","Ampelopsis grandulosa","Euonymus alata","N/A","N/A","N/A","N/A","N/A","1","1","2","N/A","N/A","N/A","N/A","N/A"
"206","Forest Glen Plot 3/ Pt. 3","08/02/18","Turf","Rosa multiflora","Plantago asiatica","Microstegium vimineum","Viola collina","N/A","N/A","N/A","60","5","10","5","10","N/A","N/A","N/A"
"209","Forest Glen Plot 3/ Pt. 6","08/02/18","Microstegium vimineum","Turf","N/A","N/A","N/A","N/A","N/A","N/A","35","50","N/A","N/A","N/A","N/A","N/A","N/A"
"210","Forest Glen Plot 3/ Pt. 7","08/07/18","Lindera benzoin","Viburnum acerifolium","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","80","5","5","N/A","N/A","N/A","N/A","N/A"
"211","Forest Glen Plot 3/ Pt. 8","08/06/18","Ampelopsis glandulosa","Euonymus alata","Viola collina","Lindera benzoin","Hedera helix","Pinellia ternata","N/A","N/A","2","5","8","10","1","4","N/A","N/A"
"212","Forest Glen Plot 3/ Pt. 9","08/07/18","Lindera benzoin","Parthenocissus quinquefolia","Lonicera japonica","Viola collina","N/A","N/A","N/A","N/A","5","1","1","3","N/A","N/A","N/A","N/A"
"213","Forest Glen Plot 3/ Pt. 10","08/02/18","Viola collina","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"214","Forest Glen Plot 3/ Pt. 11","08/02/18","Lonicera japonica","Robinia pseudoacacia","Rosa Multiflora","N/A","N/A","N/A","N/A","N/A","50","2","40","8","N/A","N/A","N/A","N/A"
"216","Forest Glen Plot 3/ Pt. 13","08/02/18","Turf","Viola collina","Microstegium vimineum","N/A","N/A","N/A","N/A","N/A","10","20","5","N/A","N/A","N/A","N/A","N/A"
"217","Forest Glen Plot 3/ Pt. 14","08/02/18","Lonicera japonica","Viburnum acerifolium","Hedera helix","Pinellia ternata","N/A","N/A","N/A","N/A","5","8","1","1","N/A","N/A","N/A","N/A"
"218","Forest Glen Plot 3/ Pt. 15","08/06/18","Ampelopsis glandulosa","Rosa multiflora","Amphicarpaea bracteata","Parthenocissus quinquefolia","N/A","N/A","N/A","N/A","5","10","40","5","N/A","N/A","N/A","N/A"
"219","Forest Glen Plot 3/ Pt. 16","08/06/18","Lindera benzoin","Euonymus alata","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","2","2","1","N/A","N/A","N/A","N/A","N/A"
"220","Forest Glen Plot 3/ Pt. 17","08/07/18","Viburnum acerifolium","Lonicera japonica","Fraxinus americana","Lindera benzoin","N/A","N/A","N/A","N/A","10","10","5","10","N/A","N/A","N/A","N/A"
"221","Forest Glen Plot 3/ Pt. 18","08/02/18","Viola collina","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"222","Forest Glen Plot 3/ Pt. 19","08/02/18","Viola collina","Microstegeum vimineum","N/A","N/A","N/A","N/A","N/A","N/A","5","5","N/A","N/A","N/A","N/A","N/A","N/A"
"223","Forest Glen Plot 3/ Pt. 20","08/07/18","Fraxinus americana","Viburnum acerifolium","Galium spurium","Lonicera japonica","N/A","N/A","N/A","N/A","2","5","5","10","N/A","N/A","N/A","N/A"
"224","Forest Glen Plot 3/ Pt. 21","08/06/18","Rosa multiflora","Pinellia ternata","Lonicera japonica","Turf","Fraxinus pennsylvanica","Parthenocissus quinquefolia","N/A","N/A","30","20","5","3","2","10","N/A","N/A"
"226","Forest Glen Plot 3/ Pt. 23","08/14/18","Moss","Viburnum acerifolium","N/A","N/A","N/A","N/A","N/A","N/A","5","1","N/A","N/A","N/A","N/A","N/A","N/A"
"227","Forest Glen Plot 3/ Pt. 24","08/06/18","Rosa multiflora","Ampelopsis glandulosa","Lonicera japonica","Arthraxon hispidus","Fraxinus americana","N/A","N/A","N/A","15","5","15","5","5","N/A","N/A","N/A"
"228","Forest Glen Plot 3/ Pt. 25","08/06/18","Rosa multiflora","Pinellia ternata","Lonicera japonica","Fraxinus americana","Ampelopsis glandulosa","N/A","N/A","N/A","5","25","1","1","3","N/A","N/A","N/A"
"229","Forest Glen Plot 3/ Pt. 26","08/07/18","Viburnum acerifolium","Lindera benzoin","Lonicera japonica","Rosa multiflora","Hedera helix","N/A","N/A","N/A","2","1","5","1","1","N/A","N/A","N/A"
"230","Forest Glen Plot 3/ Pt. 27","08/07/18","Lindera benzoin","Viburnum acerifolium","Parthenocissus quinquefolia","Rosa multiflora","N/A","N/A","N/A","N/A","10","15","1","1","N/A","N/A","N/A","N/A"
"231","Forest Glen Plot 3/ Pt. 28","08/06/18","Lonicera japonica","Pinellia ternata","Ampelopsis glandulosa","N/A","N/A","N/A","N/A","N/A","30","2","3","N/A","N/A","N/A","N/A","N/A"
"232","Forest Glen Plot 3/ Pt. 29","08/06/18","Lonicera japonica","Viburnum acerifolium","Parthenocissus quinquefolia","N/A","N/A","N/A","N/A","N/A","2","2","1","N/A","N/A","N/A","N/A","N/A"
"244","Forest Glen Plot 3/ Pt. 41","08/06/18","Ampelopsis glandulosa","Smilax rotundifolia","Rosa multiflora","Lindera benzoin","N/A","N/A","N/A","N/A","5","10","3","2","N/A","N/A","N/A","N/A"
"245","Forest Glen Plot 3/ Pt. 42","08/07/18","Lindera benzoin","Viburnum acerifolium","Lonicera japonica","Rosa multiflora","Galium spurium","Pinellia ternata","N/A","N/A","10","25","15","5","5","5","N/A","N/A"
"246","Village Square Pt. 1","08/15/18","Turf","Zelkova serrata","N/A","N/A","N/A","N/A","N/A","N/A","5","1","N/A","N/A","N/A","N/A","N/A","N/A"
"247","Village Square Pt. 2","08/15/18","Toxicodendron radicans","Hedera helix","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","40","20","15","N/A","N/A","N/A","N/A","N/A"
"248","Village Square Pt. 3","08/15/18","Zelkova serrata","Hedera helix","Viburnum acerifolium","Robinia pseudoacacia ","Alliaria petiolata","N/A","N/A","N/A","25","3","2","1","1","N/A","N/A","N/A"
"249","Village Square Pt. 4","08/15/18","Rosa multiflora","Hedera helix","Celastrus orbiculatus ","Viburnum acerifolium","N/A","N/A","N/A","N/A","5","5","5","5","N/A","N/A","N/A","N/A"
"251","Village Square Pt. 6","08/15/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"252","Village Square Pt. 7","08/16/18","Rosa multiflora","Toxicodendron radicans","Celastrus orbiculatus","N/A","N/A","N/A","N/A","N/A","20","5","5","N/A","N/A","N/A","N/A","N/A"
"253","Village Square Pt. 8","08/16/18","Rosa multiflora","Bidens pilosa","Humula japonicus","Ampelopsis glandulosa","Turf","N/A","N/A","N/A","40","20","10","10","20","N/A","N/A","N/A"
"254","Village Square Pt. 9","08/15/18","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Y","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"255","Village Square Pt. 10","08/15/18","Lonicera japonica","Hedera helix","Carya cordiformis","Toxicodendron radicans","N/A","N/A","N/A","N/A","Y","Y","N","Y","N","N/A","N/A","N/A"
"256","Village Square Pt. 11","08/16/18","Ampelopsis glandulosa","Lonicera japonica","Gynostemma pentaphyllum","Hedera helix","Turf","Helianthus tuberosus","N/A","N/A","20","20","1","3","5","1","N/A","N/A"
"257","Village Square Pt. 12","08/16/18","Fallopia japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"258","Village Square Pt. 13","08/16/18","Fallopia japonica","Ampelopsis glandulosa","N/A","N/A","N/A","N/A","N/A","N/A","25","50","N/A","N/A","N/A","N/A","N/A","N/A"
"259","Village Square Pt. 14","08/24/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"260","Village Square Pt. 15","08/24/18","Parthenocissus quinquefolia","Galium concinnum","Circaea alpina","Lonicera japonica","Glechoma hederacea","N/A","N/A","N/A","5","10","10","10","5","N/A","N/A","N/A"
"261","Village Square Pt. 16","08/24/18","Circaea alpina","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"262","Village Square Pt. 17","08/24/18","Rosa multiflora","Bidens pilosa","Geum canadense","N/A","N/A","N/A","N/A","N/A","30","1","4","N/A","N/A","N/A","N/A","N/A"
"263","Village Square Pt. 18","08/16/18","Fallopia japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"264","Village Square Pt. 19","08/16/18","Fallopia japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","80","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"265","Village Square Pt. 20","08/21/18","Ampelopsis glandulosa","Bidens pilosa","Turf","N/A","N/A","N/A","N/A","N/A","70","10","20","N/A","N/A","N/A","N/A","N/A"
"266","Village Square Pt. 21","08/22/18","Toxicodendron radicans","Viburnum acerifolium","Lycium chinense","N/A","N/A","N/A","N/A","N/A","5","2","3","N/A","N/A","N/A","N/A","N/A"
"267","Village Square Pt. 22","08/16/18","Ampelopsis glandulosa","Fallopia japonica ","N/A","N/A","N/A","N/A","N/A","N/A","5","55","N/A","N/A","N/A","N/A","N/A","N/A"
"268","Village Square Pt. 23","08/21/18","Lonicera japonica","Turf","Trifolium repens","N/A","N/A","N/A","N/A","N/A","3","65","2","N/A","N/A","N/A","N/A","N/A"
"269","Village Square Pt. 24","08/24/18","Fraxinus pennsylvanica","Celastrus orbiculatus","N/A","N/A","N/A","N/A","N/A","N/A","5","30","N/A","N/A","N/A","N/A","N/A","N/A"
"270","Village Square Pt. 25","08/24/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"271","Village Square Pt. 26","08/21/18","Ampelopsis glandulosa","Lonicera japonica","Helianthus tuberosus","Digitaria sanguinalis","Fraxinus pennsylvanica","N/A","N/A","N/A","30","20","10","4","1","N/A","N/A","N/A"
"272","Village Square Pt. 27","08/24/18","Lonicera japonica","Hedera helix","Alliaria petiolata","N/A","N/A","N/A","N/A","N/A","10","1","4","N/A","N/A","N/A","N/A","N/A"
"273","Village Square Pt. 28","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"274","Village Square Pt. 29","08/21/18","Toxicodendron radicans","Ampelopsis glandulosa","Helianthus tuberosus","N/A","N/A","N/A","N/A","N/A","15","5","5","N/A","N/A","N/A","N/A","N/A"
"275","Village Square Pt. 30","08/24/18","Toxicodendron radicans","Celastrus orbiculatus","Circaea alpina","Hedera helix","N/A","N/A","N/A","N/A","5","5","5","2","N/A","N/A","N/A","N/A"
"276","Village Square Pt. 31","08/24/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"277","Village Square Pt. 32","08/21/18","Rumex acetosa","Turf","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","5","20","50","N/A","N/A","N/A","N/A","N/A"
"278","Village Square Pt. 33","08/24/18","Circaea cordata","Celastrus orbiculatus","Hedera helix","N/A","N/A","N/A","N/A","N/A","3","1","1","N/A","N/A","N/A","N/A","N/A"
"279","Village Square Pt. 34","08/24/18","Toxicodendron radicans","Parthenocissus quinquefolia","Lonicera japonica","Hedera helix","Fraxinus pennsylvanica","Viburnum acerifolium","N/A","N/A","5","1","10","1","1","2","N/A","N/A"
"280","Village Square Pt. 35","08/24/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"281","Village Square Pt. 36","08/21/18","Ampelopsis glandulosa","Rosa multiflora","Hedera helix","Lonicera japonica","Helianthus tuberosis","Fallopia japonica","Polygonum aviculare","Oxalis stricta","2","15","10","5","10","5","2","1"
"282","Village Square Pt. 37","08/24/18","Rosa multiflora","Viburnum acerifolium","Lonicera japonica","Pinellia ternata","Turf","N/A","N/A","N/A","3","2","1","4","10","N/A","N/A","N/A"
"283","Village Square Pt. 38","08/21/18","Rosa multiflora","Fraxinus pennsylvanica","Toxicodendron radicans","Parthenocissus quinquefolia","Lonicera japonica","Lycium chinense","Viburnum acerifolium","Hedera helix","5","5","10","5","10","20","5","5"
"284","Village Square Pt. 39","08/24/18","Fraxinus pennsylvanica","Lonicera japonica","Viburnum acerifolium","N/A","N/A","N/A","N/A","N/A","5","10","2","N/A","N/A","N/A","N/A","N/A"
"285","Village Square Pt. 40","08/21/18","Lonicera japonica","Rosa multiflora","Toxicodendron radicans","Helianthus tuberosus","N/A","N/A","N/A","N/A","4","80","1","5","N/A","N/A","N/A","N/A"
"286","Village Square Pt. 41","08/24/18","Lonicera japonica","Hedera helix","Oxalis stricta","N/A","N/A","N/A","N/A","N/A","30","5","5","N/A","N/A","N/A","N/A","N/A"
"287","Village Square Pt. 42","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"288","Village Square Pt. 43","08/21/18","Ampelopsis glandulosa","Polygonum longistem","Lophatherum gracile","Rosa multiflora","Hedera helix","Lonicera japonica","N/A","N/A","5","50","30","3","2","10","N/A","N/A"
"289","Village Square Pt. 44","08/21/18","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"290","Village Square Pt. 45","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"291","Village Square Pt. 46","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"292","Village Square Pt. 47","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"293","Village Square Pt. 48","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"294","Village Square Pt. 49","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"295","Village Square Pt. 50","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"296","Village Square Pt. 51","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"297","Village Square Pt. 52","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"298","Village Square Pt. 53","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"299","Village Square Pt. 54","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"300","Village Square Pt. 55","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"301","Village Square Pt. 56","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"302","Village Square Pt. 57","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"303","Village Square Pt. 58","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"304","Village Square Pt. 59","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"305","Village Square Pt. 60","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"306","Village Square Pt. 61","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"307","Village Square Pt. 62","08/21/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"308","Todd Ave. Pt. 1 ","09/21/18","Hedera helix","Turf","Fraxinus pennsylvanica","N/A","N/A","N/A","N/A","N/A","","","","","","","",""
