ID,Patch Number,Point Code,Soil Taken,Bulk Density Taken,Depth of O Layer (Punch)(mm),%Ground Cover,% Bare Ground,Depth of A Layer (Punch) (mm),Additional Notes,% Impervious Surface,Date Sampled,Field Techs
,,BARPRK 1,YES,YES,,30,70,120,"Near egde (backyards), near manhole",,,
,,BARPRK 12,YES,YES,,15,85,70,"NEAR EDGE, BY HOUSES; GAPS IN CANOPY",,7/29/2019,Lauren Kurtz
,,BARPRK 13,YES,YES,,40,60,40,"Near edge (road), gaps in canopy",,,
,,BARPRK 14,YES,YES,,10,90,50,NEAR EDGE/YARD,,7/29/2019,Lauren Kurtz
,,BARPRK 16,YES,YES,,15,85,150,BETWEEN STORMDRAIN AND TWO MANHOLES; BACKYEARDS ON BOTH SIDES,,7/29/2019,Lauren Kurtz
,,BARPRK 17,YES,YES,,15,85,70,NEAR EDGE/BACKYARDS,,7/29/2019,Lauren Kurtz
,,BARPRK 18,YES,YES,,20,80,50,ON EDGE NEXT TO FIELD/BASKETBALL COURT,,7/29/2019,Lauren Kurtz
,,BARPRK 2,YES,YES,,35,65,205,near a small gully/ ephemeral stream,,,
,,BARPRK 3,YES,YES,,15,85,70,"Near edge (backyards), wood pile, in ephemeral stream",,,
,,BARPRK 4,YES,YES,,50,50,60,NEAR EDGE/BACKYARDS,,7/29/2019,Lauren Kurtz
,,BARPRK 5,YES,YES,,20,80,70,Bottom of small slope,,,
,,BARPRK 6,YES,YES,,50,50,45,Sunny Patch. Lots of dead trees. Near marshy area,,,
,,BARPRK 7,YES,YES,,60,40,45,"on edge (Backyard), slight slope",,,
,,BARPRK 8,YES,YES,,60,40,60,"near sunny patch, bottom of steep slope, rusty shopping cart",,,
,,BARPRK 9,YES,YES,,80,20,30,"Next to edge (road + backyard), on slope, some dumping",,,
,,CAROLL 1,YES,YES,,25,75,80,"garbage on edge, soil is very compacted",0,7/22/2019,Jennifer Strakna
,,CAROLL 10,YES,YES,,80,20,50,"on edge, free swivel chair",0,7/22/2019,Jennifer Strakna
,,CAROLL 11,YES,YES,,100,0,,sunny patch,,7/22/2019,Carol Frimpong
,,CAROLL 12,YES,YES,,50,50,60,top of hill near gap in camopy. Forest center,,7/22/2019,Laura Wortman
,,CAROLL 13,YES,YES,,15,85,60,"top of hill near road, evidence of active trash dumping activities",0,7/22/2019,Jennifer Strakna
,,CAROLL 15,YES,YES,,30,70,90,ON EDGE LOTS OF YOUNG TREES,,7/22/2019,Charise Pelan-Maclean
,,CAROLL 16,YES,YES,,15,85,90,"giant poison ivy tree, lots of fallen trees",0,7/22/2019,Jennifer Strakna
,,CAROLL 17,YES,YES,,80,20,60,n/a,0,7/22/2019,Jennifer Strakna
,,CAROLL 18,YES,YES,,40,60,,lots of grasses,,7/22/2019,Carol Frimpong
,,CAROLL 19,YES,YES,,40,60,40,,,7/22/2019,Laura Wortman
,,CAROLL 22,YES,YES,,10,90,100,INTERMEDIATE FOREST; UNHAPPY TREES; SMALL RIDGE RUNNING THROUGH,,7/24/2019,Lauren Kurtz
,,CAROLL 23,YES,YES,,40,60,90,LOTS OF FALLEN TREES,,7/22/2019,Charise Pelan-Maclean
,,CAROLL 24,YES,YES,,75,25,170,POSION IVY TREES ,,7/22/2019,Charise Pelan-Maclean
,,CAROLL 25,YES,YES,,50,50,120,hole in fence,0,7/22/2019,Jennifer Strakna
,,CAROLL 29,YES,YES,,95,5,90,"open canopy, lots of fallen trees, new tree growth",0,7/24/2019,Jennifer Strakna
,,CAROLL 30,YES,YES,,90,10,75,"no trees, lots of grasses and mile a minute",0,7/24/2019,Jennifer Strakna
,,CAROLL 36,YES,YES,,95,5,675,STILTGRASS AND MILE-A-MINUTE PROMINENT,,7/24/2019,Lauren Kurtz
,,CAROLL 4,YES,YES,,40,60,,edge with field,,7/22/2019,Carol Frimpong
,,CAROLL 42,YES,YES,,100,0,130,ON EDGE; FULL SUN,,7/24/2019,Lauren Kurtz
,,CAROLL 43,YES,YES,,15,85,100,ON TOP OF STEEP HILL BESIDES FENCE,,24-Jul,Charise Pelan-Maclean
,,CAROLL 49,YES,YES,,45,55,80,TOP OF HILL NEAR FENCE,,7/24/2019,Lauren Kurtz
,,CAROLL 5,YES,YES,,6,94,80,lots of plastic Garbage! Dumping. Center of patch,,7/22/2019,Laura Wortman
,,CAROLL 2,YES,YES,,30,70,,On a slpoe near the edge,,7/22/2019,Caitlin Beckjord
,,CAROLL 20,YES,YES,,40,60,,,,7/22/2019,Caitlin Beckjord
,,CAROLL 6,YES,YES,,30,70,,On the top of a hill near a road,,7/22/2019,Caitlin Beckjord
,,CLIFTON  1 ,YES,YES,,50,50,190,"on the edge next to golf course, lots of tree debris, abandoned Clifton Park Gardener's Cottage",0,7/15/2019,Jennifer Strakna
,,CLIFTON 10,YES,YES,,15,85,110,"near the edge, very swampy, tons of poison ivy in trees",0,7/15/2019,Jennifer Strakna
,,CLIFTON 11,YES,YES,,5,95,120,"near site edge, lots of human activity(perforation), next to fence of abandoned Clifton Park Gardener's Cottage",0,7/15/2019,Jennifer Strakna
,,CLIFTON 18,YES,YES,,50,50,150,"near the edge, very swampy",0,7/15/2019,Jennifer Strakna
,,CLIFTON 19,YES,YES,,95,5,140,"on the edge, open canopy, almost full sun",0,7/15/2019,Jennifer Strakna
,,CLIFTON 20,YES,YES,,15,85,210,near edge,,7/15/2019,Laura Wortman
,,CLIFTON 3,YES,YES,,40,60,120,near the edge and the abandoned Clifton Park Gardener's Cottage,0,7/15/2019,Jennifer Strakna
,,CLIFTON 4,YES,YES,,100,0,70,near the edge in a large patch of Virginia Knotweed,0,7/15/2019,Jennifer Strakna
,,CLIFTON 12,YES,YES,,100,0,,On the edge in full sun. Lots of mile a min. Loat od cabbage skippers. Next to community garden.,,7/15/2019,Caitlin Beckjord
,,CLIFTON 14,YES,YES,,40,60,,On edge of golf course ,,7/15/2019,Caitlin Beckjord
,,CLIFTON 17,YES,YES,,95,5,,Yellow buckeye tree here. On edge and next to a community garden. ,,7/15/2019,Caitlin Beckjord
,,CLIFTON 22,NO,NO,,75,25,,On the edge next to a side street and buildings/ storage containers.,,7/15/2019,Caitlin Beckjord
,,CLIFTON 23,YES,YES,,0,100,,"Near the edge, lots of dead grass. Evidence of dumping",,7/15/2019,Caitlin Beckjord
,,CLIFTON 6,YES,YES,,40,60,,Between the edge and the interior ,,7/15/2019,Caitlin Beckjord
,,CLIFTON 9,YES,YES,,100,0,,Interior of the patch. Old patio area and picnic tables. Open forest floor.,,7/15/2019,Caitlin Beckjord
,,FEBDAL 18,YES,YES,,10,90,,,,6/28/2019,Caitlin Beckjord
,,FENDAL 10,YES,YES,,10,90,,Middle/intermediate forest,,6/28/2019,Carol Frimpong
,,FENDAL 102,YES,YES,,3,97,70,IN EDGE/BY NEIGHBORHOOD,,7/10/2019,Lauren Kurtz
,,FENDAL 103,YES,YES,,2,98,120,"intermediate forest, close to edge next to neighborhood",0,7/10/2019,Jennifer Strakna
,,FENDAL 104,YES,YES,,,,,,,,Charise Pelan-Maclean
,,FENDAL 105,YES,YES,,20,80,95,Transition between edge & intermediate forest,,7/10/2019,Laura Wortman
,,FENDAL 109,YES,YES,,5,95,100,"near golf course, on forest edge",0,7/10/2019,Jennifer Strakna
,,FENDAL 110,YES,YES,,3,97,60,ON MOUND WITH CONCRETE CHUNKS AND BOULDERS,,7/10/2019,Lauren Kurtz
,,FENDAL 111,YES,YES,,50,50,,Near edge,,7/10/2019,Carol Frimpong
,,FENDAL 112,YES,YES,,80,20,,,,7/10/2019,Carol Frimpong
,,FENDAL 116,NO,NO,,,,,,,,Charise Pelan-Maclean
,,FENDAL 14,YES,YES,,10,90,,Edge of forest near golf course. Right on edge of forest. Old fire pit. Large pile of placed boulders. Golf course on edge,,6/28/2019,Laura Wortman
,,FENDAL 16,YES,YES,,2,98,,Flags placed here by some one else.,,6/28/2019,Laura Wortman
,,FENDAL 21,YES,YES,,5,95,,Random witch hazel around. Golf Balls on forest floor. Interior of forest patch,,6/28/2019,Laura Wortman
,,FENDAL 33,YES,YES,,25,75,,"Fallen logs, greenbrier",,7/1/2019,Carol Frimpong
,,FENDAL 38,YES,YES,,5,95,,Between small stream and golf course. Lots of skunk cabbage.,,7/1/2019,Carol Frimpong
,,FENDAL 39,YES,YES,,5,95,,"Near stream, dead trees leave canopy openings",,7/1/2019,Carol Frimpong
,,FENDAL 40,YES,YES,,5,95,,Big dead trees leave gaps in canopy. Muddy,,7/1/2019,Carol Frimpong
,,FENDAL 45,YES,YES,,5,95,,On edge of forest with denser canopy,,7/1/2019,Carol Frimpong
,,FENDAL 46,YES,YES,,6,94,,Overturned tree and greenbrier in semi-open canopy,,7/1/2019,Carol Frimpong
,,FENDAL 47,YES,YES,,5,95,,"Next to dried up stream bed. Dead trees, sparse canopy.",,7/1/2019,Carol Frimpong
,,FENDAL 48,YES,YES,,15,85,,Near stream and swamp cabbage on edge,,7/1/2019,Carol Frimpong
,,FENDAL 49,YES,YES,,5,95,,On edge of golf course. lots of skunk cabbage,,7/1/2019,Carol Frimpong
,,FENDAL 5,YES,YES,,10,90,,Next to edge,,6/28/2019,Laura Wortman
,,FENDAL 55,YES,YES,,4,96,,"Lots of fallen branches, small gully. Interior of patch",,7/1/2019,Carol Frimpong
,,FENDAL 56,YES,YES,,10,90,,Near edge. Close to houses. Downhill slope from road,,7/1/2019,Carol Frimpong
,,FENDAL 59,YES,YES,,2,98,110,"Site is near edge, has open canopy",0,7/9/2019,Jennifer Strakna
,,FENDAL 60,YES,YES,,5,95,,Near stream. severe erosion near left bank. drainage pipe,,7/9/2019,Carol Frimpong
,,FENDAL 62,YES,YES,,10,90,70,near fallen tree and puddle with tadpoles,0,7/9/2019,Jennifer Strakna
,,FENDAL 63,YES,YES,,60,40,120,Near Fallen Northern Red Oak. lots of younger tree growth. female box turtle,,7/9/2019,Laura Wortman
,,FENDAL 67,YES,YES,,10,90,,"Near swamp, lots of trash, also near golf course.",,7/9/2019,Carol Frimpong
,,FENDAL 68,YES,YES,10,8,92,70,NEAR STREAM,,7/9/2019,Lauren Kurtz
,,FENDAL 69,NO,NO,,,,,,,,Charise Pelan-Maclean
,,FENDAL 7,YES,YES,,1,99,,Right on edge/yard. Borders someones back yard.,,6/28/2019,Laura Wortman
,,FENDAL 70,YES,YES,,5,95,,Near edge and houses,,7/9/2019,Carol Frimpong
,,FENDAL 74,YES,YES,,8,92,100,NEAR EDGE/PAWPAW PRESENT,,7/9/2019,Lauren Kurtz
,,FENDAL 75,YES,YES,,3,97,230,"open canopy, near edge of forest",0,7/9/2019,Jennifer Strakna
,,FENDAL 76,YES,YES,,2,98,160,interior of patch ,0,7/9/2019,Jennifer Strakna
,,FENDAL 78,YES,YES,,5,95,80,on edge of forest right next to a golf course,0,7/9/2019,Jennifer Strakna
,,FENDAL 8,YES,YES,,2,98,,Right on Eedge/street. Site next to road. Easily accessible - doesn't look like its used much - but  some evidence of dumping,,6/28/2019,Laura Wortman
,,FENDAL 81,YES,YES,,5,95,140,Near edge of forest.,,7/9/2019,Laura Wortman
,,FENDAL 82,NO,NO,,,,,,,,Charise Pelan-Maclean
,,FENDAL 83,YES,YES,,40,60,60,on interior of patch,0,7/9/2019,Jennifer Strakna
,,FENDAL 84,YES,YES,,1,99,90,NEXT TO EDGE,,7/9/2019,Lauren Kurtz
,,FENDAL 89,YES,YES,,8,92,130,Interior of patch.,,7/9/2019,Laura Wortman
,,FENDAL 9,YES,YES,,5,95,,on slight slope,,6/28/2019,Laura Wortman
,,FENDAL 90,YES,YES,,5,95,70,Interior of forest. Open canopy,,7/9/2019,Laura Wortman
,,FENDAL 91,NO,NO,,,,,,,,Charise Pelan-Maclean
,,FENDAL 96,YES,YES,,15,85,95,Intermediate/40m to edge of golf course.,,7/10/2019,Laura Wortman
,,FENDAL 97,NO,NO,,,,,,,,Charise Pelan-Maclean
,,FENDAL 98,YES,YES,,10,90,140,"intermediate forest, all trees within prism were ""0"" on Schumaker scale",0,7/10/2019,Jennifer Strakna
,,FENDAL 99,YES,YES,,2,98,80,NEAR EDGE/NEXT TO ROAD,,07/10/29109,Lauren Kurtz
,,FENDAL106,YES,YES,,5,95,,On edge next to gold course.,,7/10/2019,Caitlin Beckjord
,,FENDAL 17,YES,YES,,10,90,,,,6/28/2019,Caitlin Beckjord
,,FENDAL 2,YES,YES,,5,95,,Right on the edge of the patch ,,6/28/2019,Caitlin Beckjord
,,FENDAL 20,YES,YES,,5,95,,Near forest edge,,6/28/2019,Caitlin Beckjord
,,FENDAL 27,YES,YES,,5,95,,"Open canopy, several generations of trees,very close to edge of patch, golf course is the matrix",,6/28/2019,Caitlin Beckjord
,,FENDAL 28,YES,YES,,5,95,,"Canopy is broken, point in the interior of the patch ",,6/28/2019,Caitlin Beckjord
,,FENDAL 41,YES,YES,,90,10,,Grassy pathch with an open canopy due to a dead tree,,7/1/2019,Caitlin Beckjord
,,FENDAL 42,YES,YES,,25,75,,"Site is directly on the edge, lots of dead branches.",,7/1/2019,Caitlin Beckjord
,,FENDAL 53,YES,YES,,5,95,,Lots of fallen trees and smaller yonger trees. Interior of patch.,,7/1/2019,Caitlin Beckjord
,,FENDAL 54,YES,YES,,3,97,,"Flags from another organization present, electrial box near site",,7/1/2019,Caitlin Beckjord
,,FENDAL 56,YES,YES,,10,90,,Near egde and close to houses. Downhill slope from road.,,7/1/2019,Caitlin Beckjord
,,FENDAL 6,YES,YES,,15,85,,At the edge of forest and near a house,,6/28/2019,Caitlin Beckjord
,,FENDAL 61,YES,YES,,7,93,,"Imterior of forest near a fallen tree, Wavy leaf basket grass present",,7/9/2019,Caitlin Beckjord
,,FENDAL 77,YES,YES,,5,95,,Near the edge of the patch ,,7/9/2019,Caitlin Beckjord
,,FENDAL 85,YES,YES,,5,95,,on the edge next to a side street and houses ,,7/9/3019,Caitlin Beckjord
,,FENDAL 88,YES,YES,,10,90,,Near the edge of the patch ,,7/9/2019,Caitlin Beckjord
,,FENDAL 95,YES,YES,,20,80,,On edge of golf course. Lots of young trees with vines. ,,7/10/2019,Caitlin Beckjord
,,HERUN 29,YES,YES,,10,90,80,ON SLOPE NEXT TO PATH,,7/18/2019,Lauren Kurtz
,,HERUN 21,YES,YES,,50,50,70,UP SLOPE FROM PATH,,7/18/2019,Lauren Kurtz
,,HERUN2 10,YES,YES,,90,10,200,,,7/19/2019,Laura Wortman
,,HERUN2 11,YES,YES,,2,98,70,,,7/19/2019,Laura Wortman
,,HERUN2 14,YES,YES,,4,96,,,,7/16/2019,Carol Frimpong
,,HERUN2 15,YES,YES,,3,97,,Bottom of slope,,7/16/2019,Carol Frimpong
,,HERUN2 16,YES,YES,,10,90,,On slope near paved path,,7/18/2019,Carol Frimpong
,,HERUN2 17,YES,YES,,25,75,80,clear path,,7/16/2019,Laura Wortman
,,HERUN2 18,YES,YES,,30,70,,,,7/16/2019,Carol Frimpong
,,HERUN2 19,YES,YES,,50,50,20, brambly and next to a little hill,0,7/18/2019,Jennifer Strakna
,,HERUN2 2,YES,YES,,5,95,150,ON LSIGHT HILL,,7/19/2019,Lauren Kurtz
,,HERUN2 20,YES,YES,,40,60,,Just off dirt path. Near edge,,7/18/2019,Carol Frimpong
