"SGDW 1","39.349041258549","-76.6585797319606"
"SGDW 2","39.3489610488662","-76.658174980834"
"SGDW 3","39.3488020090856","-76.6591054625999"
"SGDW 4","39.3487299129449","-76.6586890297013"
"SGDW 5","39.3486383948434","-76.6582749705376"
"SGDW 6","39.3483986487176","-76.6587980114737"
"SGDW 7","39.348324058933","-76.6583817590122"
"SGDW 8","39.3480785802936","-76.6589082704381"
"SGDW 9","39.3480050213763","-76.6584850796965"
"SGDW 10","39.3477624052849","-76.6590022255661"
"SGDW 11","39.3476755808606","-76.6585899010062"
"SGDW 12","39.3475969751076","-76.6581814973926"
"SW 4","39.3426998459703","-76.6013300092166"
"SW 5","39.3424158138609","-76.6011022877292"
"SW 6","39.3421267209162","-76.6008834645215"
"SW 8","39.3425222589018","-76.601686083795"
"SW 9","39.3422406398306","-76.6014726869922"
"SW 10","39.3419630312954","-76.6012454209271"
"SW 11","39.3426410100938","-76.602276720872"
"SW 12","39.3423629880148","-76.6020526617974"
"SW 13","39.3420742150356","-76.6018227220199"
"SW 14","39.3417910802091","-76.6016076766759"
"JH 1","39.30217638","-76.6561987"
"JH 3","39.30215371","-76.65667127"
"JH 4","39.30287954","-76.65722607"
"JH 5","39.30250652","-76.65718832"
"JH 6","39.30213625","-76.6571449"
"JH 7","39.30284711","-76.65769128"
"JH 8","39.3024771","-76.65766218"
"JH 9","39.30210549","-76.65762572"
"JH 10","39.30282672","-76.65819396"
"JH 11","39.30246422","-76.65814968"
"JH 12","39.30208255","-76.65811306"
"JH 13","39.30279541","-76.6586498"
"JH 14","39.30242643","-76.65862427"
"JH 15","39.30204958","-76.6585858"
"FF 1","39.34778767","-76.54383396"
"FF 2","39.34792173","-76.54420221"
"FF 3","39.34731927","-76.54459471"
"FF 4","39.34752168","-76.54419437"
"FF 5","39.34718448","-76.544201"
"FF 6","39.34695116","-76.54455576"
"FF 7","39.34672914","-76.54496592"
"FF 9","39.34635339","-76.54493791"
"FF 11","39.3481198","-76.54380471"
"FF 12","39.34851069","-76.54384393"
"FF 13","39.34836099","-76.54346095"
"FF 14","39.34871947","-76.54343856"
"WG 2","39.3505972489074","-76.603875386567"
"WG 3","39.3503139764109","-76.6043507702594"
"WG 4","39.3502680392824","-76.6039451651714"
"WG 5","39.35021200982","-76.6035169666551"
"BFP 1","39.363673892507","-76.6070952153052"
"BFP 2","39.3635221153857","-76.6067195800288"
"HEPP 1","39.36565211","-76.56534136"
"HEPP 2","39.36570624","-76.5657385"
"HEPP 3","39.36575662","-76.56616992"
"HEPP 4","39.36581441","-76.56658898"
"HEPP 5","39.36527588","-76.56498739"
"HEPP 6","39.3653306","-76.56539776"
"HEPP 7","39.36536647","-76.56579808"
"HEPP 8","39.36546188","-76.56623825"
"HEPP 9","39.36549181","-76.5666687"
"HEPP 10","39.36500373","-76.56547269000001"
"HEPP 11","39.3650479","-76.56589118"
"HEPP 12","39.365136","-76.56631742"
"HEPP 13","39.36516837","-76.56672765"
"NMN 1","39.3649829631797","-76.6002407669722"
"NMN 2","39.3646992224682","-76.6000098611584"
"NMN 3","39.3644313858687","-76.5997760342836"
"G 1","39.3526364","-76.6107256"
"G 2","39.35263456","-76.6103189"
"G 3","39.35263833","-76.6099219"
"W 1","39.3449984","-76.60026"
"W 2","39.3447343","-76.600725"
"W 3","39.3450468","-76.60065"
"W 4","39.3446831","-76.600331"
"AH 1","39.344412009713","-76.7016517298519"
"AH 4","39.3434285919931","-76.7012463963994"
"AH 7","39.343443991772","-76.7004009661944"
"AH 8","39.3434471849877","-76.6999752384086"
"AH 12","39.3427914569915","-76.700812731549"
"AH 14","39.3427931387825","-76.6999758949075"
"FRIENDS 1","39.3554966834365","-76.6300805348942"
"FRIENDS 4","39.3565002493035","-76.6300987541019"
"FRIENDS 7","39.3568356324959","-76.6300941732612"
"FRIENDS 11","39.3575332875813","-76.6274356389149"
"FRIENDS 14","39.3575237753114","-76.6261013518206"
"FRIENDS 16","39.357539684823","-76.6252025938346"
"FRIENDS 17","39.3575308089091","-76.6247637056893"
"GILMAN 1","39.3573259963422","-76.6290187147968"
"GILMAN 3","39.3580750414683","-76.6290143939141"
"GILMAN 5","39.3588167479622","-76.6290075614239"
"GILMAN 7","39.3606700583009","-76.6304598311937"
"GILMAN 9","39.3603002392144","-76.6299732637398"
"GILMAN 15","39.3595547233531","-76.6299873828819"
"GILMAN 21","39.357703805105","-76.629983320318"
"GILMAN 22","39.3573301428842","-76.6299819274605"
"GILMAN 23","39.3610407780943","-76.6299861159414"
"GS 2","39.3587804287302","-76.5857150726734"
"GS 5","39.3580791681829","-76.5846657286146"
"GS 8","39.357160550937","-76.5844307340181"
"GS 10","39.3568275637437","-76.5840962236661"
"GS 14","39.3563551653183","-76.5853380124849"
"GS 18","39.3562124653492","-76.5838117371541"
"GS 21","39.3559775831431","-76.58461527013"
"GS 26","39.3569735218323","-76.5825385941939"
"GS 28","39.3566046452895","-76.587993770536"
"GS 31","39.3578883489027","-76.5889518333232"
"HR 1","39.367619304834","-76.6892454456512"
"HR 3","39.3678930503155","-76.6888467005549"
"HR 5","39.3673110173466","-76.6888913381094"
"HR 7","39.3675833265603","-76.6884896880838"
"HR 10","39.3678545861525","-76.688089929343"
"HR 12","39.3681370829929","-76.6876891046041"
"HR 15","39.3686945057975","-76.6872663456727"
"HR 20","39.369016854122","-76.6876242749751"
"LOYOLA 4","39.3368099231027","-76.6554476663596"
"LOYOLA 8","39.3368176852062","-76.6546022839354"
"LOYOLA 10","39.3371540981989","-76.6546317157886"
"LOYOLA 12","39.3374665323914","-76.655065004596"
"LOYOLA 16","39.3378154597112","-76.6542485444377"
"LOYOLA 18","39.3381144733978","-76.6550982569521"
"LOYOLA 22","39.3384595343117","-76.654278435623"
"LOYOLA 24","39.3384981214534","-76.6534290469721"
"LOYOLA 26","39.3348979979989","-76.6536860091228"
"LOYOLA 34","39.3355646062267","-76.6532918904243"
"LOYOLA 36","39.335576002884","-76.6528682360343"
"LOYOLA 52","39.339777684609","-76.6534934670298"
"LOYOLA 56","39.3398202151911","-76.6522376556819"
"LOYOLA 58","39.34016321972","-76.6514141075231"
"LOYOLA 60","39.3408094937737","-76.651437889815"
"LOYOLA 64","39.3411341879916","-76.6522932905983"
"MDSB 2","39.3662614255915","-76.5377171042794"
"MDSB 4","39.3660409384301","-76.537326267162"
"MDSB 7","39.3661270343216","-76.5366528725353"
"MDSB 9","39.3653870569993","-76.5361636941618"
"MDSB 12","39.3662093142718","-76.5359702990884"
"MDSB 13","39.3664246098989","-76.536367666626"
"MDSB 16","39.3669546466605","-76.5364772870964"
"MDSB 19","39.3670326658102","-76.5357950653223"
"MDSB 22","39.3665085003696","-76.5356890729662"
"MDSB 25","39.3660612969156","-76.5349126519929"
"MDSB 28","39.3659908691125","-76.5355842175047"
"MDSB 31","39.3654689062661","-76.5354815741628"
"MDSB 34","39.3610195935669","-76.5324974557464"
"MDSB 37","39.3605764561406","-76.5317056836105"
"MDSB 40","39.3609701130011","-76.5307592391222"
"MDSB 43","39.3607445879531","-76.5303612751295"
"MDSB 45","39.3612680064583","-76.530469409373"
"MDSB 48","39.3613524239454","-76.5297869552283"
"ND 1","39.3499943370351","-76.6227309603797"
"ND 4","39.3503837121377","-76.6223652916971"
"ND 5","39.3506583275048","-76.6228528764651"
"ND 7","39.350768903982","-76.62198907476"
"ND 9","39.3510466495322","-76.622481507344"
"ND 12","39.3513858198607","-76.6225487643323"
"ND 13","39.3516617122607","-76.6230430111513"
"ND 14","39.3517227688004","-76.6226160261059"
"ND 28","39.350521396432","-76.6210742732735"
"ND 30","39.3528535735417","-76.6184240025201"
"ND 34","39.3530923383906","-76.6193530251898"
"ND 37","39.3534197573325","-76.6194165201568"
"ND 38","39.3533765363777","-76.6198530159108"
"RPCS 1","39.3585628021701","-76.6391904693264"
"RPCS 6","39.3583606019375","-76.6380285448962"
"RPCS 9","39.3580427860213","-76.6383607564302"
"RPCS 13","39.357748469308","-76.6383159029094"
"RPCS 17","39.3574899192991","-76.6379053778161"
"RPCS 20","39.3572303932121","-76.6374891414962"
"RPCS 23","39.357002667132","-76.6366930660708"
"SETON 2","39.3395396246002","-76.7106756521378"
"SETON 6","39.3387989475829","-76.7106024282529"
"SETON 9","39.3392179296155","-76.7096475596436"
"SETON 13","39.3384928137366","-76.7090979966235"
"SETON 15","39.3381191841553","-76.709058538499"
"SETON 17","39.3410565489335","-76.7108020538869"
"SETON 20","39.3421940316946","-76.7109094463331"
"SETON 23","39.3429789433418","-76.7104907000271"
"SETON 26","39.3456064533946","-76.7038542298596"
"SETON 29","39.346323533761","-76.7048899068173"
"SINAI 4","39.3548337708774","-76.6594098861858"
"SINAI 7","39.3551047165723","-76.6588300753552"
"SINAI 9","39.3553748091734","-76.6582377388807"
"SINAI 13","39.3560053567299","-76.6575366847898"
"SINAI 16","39.3562737915591","-76.6569500672417"
"SINAI 19","39.3554628836472","-76.6567091527289"
"SINAI 23","39.3557247571119","-76.6561242436459"
"SINAI 26","39.3546466592972","-76.6564818478321"
"SINAI 27","39.3556342101494","-76.6556652537398"
"SINAI 31","39.3532803746428","-76.6574286468797"
"SINAI 34","39.3520261419897","-76.6588380046845"
